"ANO_ELEICAO","NUM_TURNO","COD_MUN_IBGE","NOME_MACRO","CODIGO_CARGO","DESCRICAO_CARGO","NUMERO_PARTIDO","SIGLA_PARTIDO","QTDE_VOTOS"
"2004","1","2503001","Nordeste","11","PREFEITO","12","PDT","1694"
"2004","1","2504405","Nordeste","11","PREFEITO","12","PDT","5298"
"2004","1","2504801","Nordeste","11","PREFEITO","12","PDT","1180"
"2004","1","2506004","Nordeste","11","PREFEITO","12","PDT","125"
"2004","1","2506608","Nordeste","11","PREFEITO","12","PDT","1918"
"2004","1","2508406","Nordeste","11","PREFEITO","12","PDT","1256"
"2004","1","2509107","Nordeste","11","PREFEITO","12","PDT","7506"
"2004","1","2509701","Nordeste","11","PREFEITO","12","PDT","9335"
"2004","1","2509800","Nordeste","11","PREFEITO","12","PDT","2806"
"2004","1","2509909","Nordeste","11","PREFEITO","12","PDT","2426"
"2004","1","2510600","Nordeste","11","PREFEITO","12","PDT","1133"
"2004","1","2513158","Nordeste","11","PREFEITO","12","PDT","1862"
"2004","1","2513703","Nordeste","11","PREFEITO","12","PDT","36165"
"2004","1","2513851","Nordeste","11","PREFEITO","12","PDT","793"
"2004","1","2514305","Nordeste","11","PREFEITO","12","PDT","98"
"2004","1","2515302","Nordeste","11","PREFEITO","12","PDT","10307"
"2004","1","2515708","Nordeste","11","PREFEITO","12","PDT","1005"
"2004","1","2515971","Nordeste","11","PREFEITO","12","PDT","1572"
"2004","1","2516003","Nordeste","11","PREFEITO","12","PDT","171"
"2004","1","2516102","Nordeste","11","PREFEITO","12","PDT","3444"
"2004","1","2516201","Nordeste","11","PREFEITO","12","PDT","14096"
"2004","1","2516300","Nordeste","11","PREFEITO","12","PDT","3715"
"2004","1","2600054","Nordeste","11","PREFEITO","12","PDT","29168"
"2004","1","2600708","Nordeste","11","PREFEITO","12","PDT","6547"
"2004","1","2600807","Nordeste","11","PREFEITO","12","PDT","195"
"2004","1","2603108","Nordeste","11","PREFEITO","12","PDT","5364"
"2004","1","2603603","Nordeste","11","PREFEITO","12","PDT","2617"
"2004","1","2604601","Nordeste","11","PREFEITO","12","PDT","5374"
"2004","1","2605004","Nordeste","11","PREFEITO","12","PDT","6269"
"2004","1","2605202","Nordeste","11","PREFEITO","12","PDT","918"
"2004","1","2605400","Nordeste","11","PREFEITO","12","PDT","293"
"2004","1","2607208","Nordeste","11","PREFEITO","12","PDT","1853"
"2004","1","2607752","Nordeste","11","PREFEITO","12","PDT","6536"
"2004","1","2607901","Nordeste","11","PREFEITO","12","PDT","26991"
"2004","1","2608008","Nordeste","11","PREFEITO","12","PDT","3691"
"2004","1","2608057","Nordeste","11","PREFEITO","12","PDT","3804"
"2004","1","2608800","Nordeste","11","PREFEITO","12","PDT","11288"
