cve_entIFE,cve_mpioIFE,seccion,pobtot1994,avgpoverty,pobelegiblep,treatment,numerotreated,numerocontrol,one_random,two_random,early_progresa_p,villages,villages2,pri1994,votos_totales1994,pan1994,prd1994,t2000,t1994,pri2000s,pri1994s,pan2000s,pan1994s,prd2000s,prd1994s,rep_total,rep_PAN,rep_PRD,rep_PRI,_Ivillages_2,_Ivillages_3,_Ivillages_4,_Ivillages_5,_Ivillages_6,_Ivillages_7,_Ivillages_8,_Ivillages_9,_Ivillages_10,_Ivillages_11,_Ivillages_12,_Ivillages_13,_Ivillages_14
21,157,2026,2285,4.5714287757873535,0.5457330346107483,0,NA,1,1,0,0.8757764101028442,8,NA,442,640,73,54,0.5296323895454407,0.4973146319389343,0.35483869910240173,0.3434579074382782,0.12228056788444519,0.056724946945905685,0.03525881469249725,0.04196092113852501,14,4,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0
21,171,2119,1523,4.75,1,0,NA,1,1,0,0.8510638475418091,4,NA,367,553,32,81,0.6982872486114502,0.7312860488891602,0.5059288740158081,0.4853200316429138,0.0830039530992508,0.042316734790802,0.08036890625953674,0.10711423307657242,16,6,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0
21,171,2123,1173,5,1,1,1,NA,1,0,0.9924242496490479,3,NA,208,340,10,32,0.6712962985038757,0.6465375423431396,0.5138888955116272,0.3955288529396057,0.05787036940455437,0.019015811383724213,0.0347222238779068,0.0608505941927433,5,NA,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0
21,171,2126,1947,4.75,1,0,NA,2,0,1,1,7,4,585,889,81,62,0.6874435544013977,0.8873742818832397,0.47515809535980225,0.5839301943778992,0.12466124445199966,0.08085187524557114,0.04697380214929581,0.06188661977648735,12,3,4,5,0,0,0,0,0,1,0,0,0,0,0,0,0
21,171,2128,1062,4.25,0.6836158037185669,1,1,NA,1,0,0.6451612710952759,4,NA,293,638,33,59,0.6567425727844238,1,0.48511382937431335,0.5177140235900879,0.0823117345571518,0.05830908939242363,0.05779334530234337,0.10424958169460297,7,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0
21,178,2212,2426,5,1,1,2,NA,0,1,1,7,4,378,618,77,105,0.5575589537620544,0.48555368185043335,0.36754506826400757,0.2969891428947449,0.10679611563682556,0.060497790575027466,0.05131761357188225,0.08249698579311371,15,4,2,9,0,0,0,0,0,1,0,0,0,0,0,0,0
21,179,2224,2702,4.5,1,1,1,NA,1,0,0.6435185074806213,4,NA,567,782,118,42,0.5789473652839661,0.6082141399383545,0.3486842215061188,0.44099414348602295,0.13733552396297455,0.09177655726671219,0.06332236528396606,0.03266623243689537,24,9,6,9,0,0,1,0,0,0,0,0,0,0,0,0,0
21,179,2232,3676,4.333333492279053,1,0,NA,1,1,0,0.2432432472705841,3,NA,406,599,94,48,0.29159802198410034,0.3360583782196045,0.15650741755962372,0.22777913510799408,0.0856672152876854,0.0527370423078537,0.03459637612104416,0.026929553598165512,16,6,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0
21,184,2264,1975,5,1,0,NA,1,1,0,0.8664383292198181,4,NA,387,530,6,5,0.6991150379180908,0.567066490650177,0.6184857487678528,0.41406551003456116,0.019665682688355446,0.006419620476663113,0.023598819971084595,0.005349683575332165,14,4,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0
21,186,2277,1049,4.833333492279053,1,1,1,NA,1,0,1,6,NA,195,275,37,10,0.5538461804389954,0.5490118265151978,0.32307693362236023,0.38929930329322815,0.13076923787593842,0.07386704534292221,0.07115384936332703,0.0199640654027462,7,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0
21,187,2298,1137,4.800000190734863,1,1,1,NA,1,0,1,5,NA,232,381,101,3,0.6315789222717285,0.637957751750946,0.3699248135089874,0.3884677290916443,0.1473684161901474,0.16911742091178894,0.021052632480859756,0.0050232894718647,8,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0
21,192,2327,2126,4.75,1,0,NA,1,1,0,0.884353756904602,8,NA,424,534,15,57,0.6170395612716675,0.4997407793998718,0.4552495777606964,0.39679792523384094,0.08691910654306412,0.01403766218572855,0.044750429689884186,0.053343117237091064,21,9,3,9,0,0,0,0,0,0,1,0,0,0,0,0,0
21,194,2338,1416,5,1,0,NA,1,1,0,0.5948718190193176,14,NA,279,469,11,105,0.6634213924407959,0.669772744178772,0.42837274074554443,0.3984362483024597,0.06397774815559387,0.015708956867456436,0.13073714077472687,0.1499491184949875,14,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,1
21,197,2384,1317,5,1,1,1,NA,1,0,0.9801980257034302,7,NA,339,389,13,12,0.6550765037536621,0.6490678787231445,0.49095967411994934,0.5656401515007019,0.0890125185251236,0.02169121615588665,0.03894297778606415,0.020022660493850708,15,5,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0
21,200,2405,1868,4.699999809265137,0.44379013776779175,1,1,NA,1,0,0.8439716100692749,10,NA,457,714,27,149,0.8268656730651855,0.7228532433509827,0.5174129605293274,0.4626665711402893,0.11044776439666748,0.02733478508889675,0.1582089513540268,0.15084752440452576,12,2,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0
21,202,2409,1800,5,1,1,1,1,1,0,0.8372092843055725,6,NA,477,636,32,27,0.8670820593833923,0.7038959860801697,0.6583592891693115,0.5279219746589661,0.1007268950343132,0.035416148602962494,0.030114226043224335,0.02988237701356411,19,8,3,8,0,0,0,0,1,0,0,0,0,0,0,0,0
21,207,2439,2101,5,1,0,NA,1,1,0,0.7696629166603088,2,NA,330,440,11,30,0.4936034083366394,0.41853487491607666,0.35501065850257874,0.3139011561870575,0.05330490320920944,0.010463371872901917,0.03411513939499855,0.028536468744277954,12,2,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0
