Game,Subject_ethnicity,Recipient_Pairing,Recipient,Recipient_ethnicity,Amount,Fairness,Subject_Gender,Subject_Age,Subject_Education
245,Croat,Bosnjak Croat,2,Bosnjak,0,1,1,41,3
246,Croat,Bosnjak Croat,1,Croat,5,0,1,42,1
246,Croat,Bosnjak Croat,2,Bosnjak,5,0,1,42,1
247,Serb,Bosnjak Serb,1,Serb,5,1,1,46,3
247,Serb,Bosnjak Serb,2,Bosnjak,5,1,1,46,3
248,Serb,Bosnjak Serb,1,Bosnjak,1,1,0,24,4
248,Serb,Bosnjak Serb,2,Serb,9,1,0,24,4
249,Serb,Croat Serb,1,Serb,6,1,0,40,4
249,Serb,Croat Serb,2,Croat,4,1,0,40,4
25,Bosnjak,Bosnjak Croat,1,Croat,5,1,0,25,3
25,Bosnjak,Bosnjak Croat,2,Bosnjak,5,1,0,25,3
250,Serb,Croat Serb,1,Croat,5,1,0,43,3
250,Serb,Croat Serb,2,Serb,5,1,0,43,3
251,Serb,Croat Serb,1,Serb,5,0,0,50,3
251,Serb,Croat Serb,2,Croat,5,0,0,50,3
252,Serb,Croat Serb,1,Serb,5,0,1,35,4
252,Serb,Croat Serb,2,Croat,5,0,1,35,4
253,Serb,Bosnjak Serb,1,Serb,5,1,1,29,3
253,Serb,Bosnjak Serb,2,Bosnjak,5,1,1,29,3
254,Serb,Bosnjak Croat,1,Croat,5,0,1,46,1
254,Serb,Bosnjak Croat,2,Bosnjak,5,0,1,46,1
255,Serb,Bosnjak Croat,1,Bosnjak,5,1,1,33,3
255,Serb,Bosnjak Croat,2,Croat,5,1,1,33,3
256,Serb,Bosnjak Serb,1,Bosnjak,4,1,1,25,3
256,Serb,Bosnjak Serb,2,Serb,6,1,1,25,3
257,Serb,Bosnjak Croat,1,Croat,5,0,0,35,4
257,Serb,Bosnjak Croat,2,Bosnjak,5,0,0,35,4
258,Serb,Croat Serb,1,Croat,5,1,1,26,4
258,Serb,Croat Serb,2,Serb,5,1,1,26,4
259,Serb,Croat Serb,1,Serb,5,1,0,34,3
259,Serb,Croat Serb,2,Croat,5,1,0,34,3
26,Bosnjak,Bosnjak Croat,1,Croat,5,1,1,25,4
26,Bosnjak,Bosnjak Croat,2,Bosnjak,5,1,1,25,4
260,Serb,Bosnjak Serb,1,Bosnjak,5,1,1,24,3
260,Serb,Bosnjak Serb,2,Serb,5,1,1,24,3
261,Serb,Bosnjak Serb,1,Serb,5,1,0,31,3
261,Serb,Bosnjak Serb,2,Bosnjak,5,1,0,31,3
262,Serb,Croat Serb,1,Serb,3,1,1,27,1
262,Serb,Croat Serb,2,Croat,7,1,1,27,1
263,Serb,Bosnjak Serb,1,Bosnjak,5,1,1,26,3
263,Serb,Bosnjak Serb,2,Serb,5,1,1,26,3
264,Serb,Croat Serb,1,Croat,3,0,0,25,3
264,Serb,Croat Serb,2,Serb,7,0,0,25,3
265,Serb,Bosnjak Serb,1,Bosnjak,5,1,0,40,4
265,Serb,Bosnjak Serb,2,Serb,5,1,0,40,4
266,Serb,Croat Serb,1,Croat,5,0,0,26,3
266,Serb,Croat Serb,2,Serb,5,0,0,26,3
267,Serb,Bosnjak Serb,1,Bosnjak,3,1,0,24,3
267,Serb,Bosnjak Serb,2,Serb,7,1,0,24,3
268,Serb,Bosnjak Croat,1,Bosnjak,5,1,1,29,4
268,Serb,Bosnjak Croat,2,Croat,5,1,1,29,4
269,Serb,Bosnjak Croat,1,Croat,5,1,1,50,3
269,Serb,Bosnjak Croat,2,Bosnjak,5,1,1,50,3
27,Bosnjak,Croat Serb,1,Croat,5,1,1,25,3
27,Bosnjak,Croat Serb,2,Serb,5,1,1,25,3
270,Serb,Bosnjak Croat,1,Bosnjak,5,1,1,40,3
270,Serb,Bosnjak Croat,2,Croat,5,1,1,40,3
271,Serb,Bosnjak Croat,1,Bosnjak,5,0,1,50,1
271,Serb,Bosnjak Croat,2,Croat,5,0,1,50,1
272,Serb,Croat Serb,1,Serb,4,1,1,40,4
272,Serb,Croat Serb,2,Croat,6,1,1,40,4
273,Serb,Bosnjak Serb,1,Serb,5,0,1,47,1
273,Serb,Bosnjak Serb,2,Bosnjak,5,0,1,47,1
274,Serb,Bosnjak Serb,1,Bosnjak,5,1,0,51,3
274,Serb,Bosnjak Serb,2,Serb,5,1,0,51,3
275,Serb,Bosnjak Serb,1,Serb,5,1,0,25,3
275,Serb,Bosnjak Serb,2,Bosnjak,5,1,0,25,3
276,Serb,Croat Serb,1,Serb,5,1,0,25,3
276,Serb,Croat Serb,2,Croat,5,1,0,25,3
277,Serb,Bosnjak Croat,1,Croat,5,1,0,35,4
277,Serb,Bosnjak Croat,2,Bosnjak,5,1,0,35,4
278,Serb,Bosnjak Croat,1,Croat,10,0,1,21,3
278,Serb,Bosnjak Croat,2,Bosnjak,0,0,1,21,3
279,Serb,Bosnjak Serb,1,Bosnjak,3,1,1,21,3
279,Serb,Bosnjak Serb,2,Serb,7,1,1,21,3
28,Bosnjak,Croat Serb,1,Croat,5,1,1,40,1
28,Bosnjak,Croat Serb,2,Serb,5,1,1,40,1
280,Serb,Bosnjak Serb,1,Bosnjak,0,1,0,36,3
280,Serb,Bosnjak Serb,2,Serb,10,1,0,36,3
281,Serb,Croat Serb,1,Croat,5,1,1,20,3
281,Serb,Croat Serb,2,Serb,5,1,1,20,3
282,Serb,Croat Serb,1,Serb,5,1,0,33,3
282,Serb,Croat Serb,2,Croat,5,1,0,33,3
